customer_state,average_delivery_time,average_delivery_delay,average_freight_cost,average_order_value,order_count
AL,24.489141810868244,-8.057348046231242,0.08755774198814904,220.5444730679157,427
MA,21.648666666666667,-9.225053761574074,0.09395799770552622,184.7544375,800
SE,21.467353209876542,-9.32573388888889,0.08927253791577161,187.43768,375
ES,15.649065751144404,-9.949211584477736,0.05377118671958817,142.76760898876404,2225
BA,19.247617962535575,-10.288561744526906,0.06465425781082858,160.50442845506382,3683
CE,20.9874645148304,-10.41076384019012,0.07990259493058993,186.84205469845725,1426
SP,8.723795135225497,-10.513430148296079,0.03689463502920132,124.20942768555004,46443
MS,15.534071690756724,-10.528614593323287,0.05699790110160258,165.68131935881627,811
PI,19.38470980720204,-10.852159947949861,0.09547716764807898,201.1055258126195,523
SC,15.001540309297217,-10.872575217359868,0.052496161939149646,145.2614177647633,4098
RJ,15.148467143735175,-11.308408837271104,0.051039309684015224,145.32817262830483,14146
DF,12.958993124361092,-11.493049058347095,0.051435660414984916,146.97382165605094,2355
GO,15.403337684412564,-11.595925885261634,0.05507436977279819,146.77749231444884,2277
TO,17.4483853046595,-11.6503214979092,0.09137627479511937,193.57216129032258,310
PB,20.589148298255594,-12.37158282375806,0.10518377616626441,235.21936860068257,586
MG,11.983905753149022,-12.639406323564408,0.05034621477425217,140.81719904002478,12917
PE,18.27926698193755,-12.764433049350897,0.07980212198138381,176.95993699885452,1746
PR,11.94721725780702,-12.792033787527126,0.04997026032675214,138.38003186404674,5649
RN,19.32527508974906,-13.266659446754817,0.08718531686731947,193.31051823416507,521
RS,15.188565554589319,-13.432036363313827,0.05275891022451516,140.4335219305397,6133
PA,23.7540533747101,-13.569359714315834,0.08696790978991513,201.16088235294117,1054
MT,17.961681812296867,-13.896033273509769,0.06833849388670732,174.7583606557377,1037
RR,28.23101147342995,-17.618375100644123,0.10517487667999623,196.5113043478261,46
AP,28.205959790809327,-17.768385631001372,0.08338335732073932,199.28160493827158,81
AM,26.390967180754373,-19.22603747727789,0.08130885934615431,169.23601226993867,163
RO,19.73936588488672,-19.341098265160767,0.10088495765121419,208.66666666666666,273
AC,20.71554995929996,-20.33284086284086,0.09775413026731124,215.1135164835165,91
